"	Warning... ",,,,,
"	   Date Selected:                 20180101:0100",,,,,
"	   First Entry In Datebase:       20180215:0100",,,,,
"	   ...Resetting Date Selected To: 20180215:0100",,,,,
hancock,,,,,
hourly summary,,,,,
,,,,,
date,time,atmp,pcpn,relh,rpet
2/15/2018,1:00,2.6,0,89.7,0.002
2/15/2018,2:00,2.5,0,91.1,0
2/15/2018,3:00,2.8,0,91,0
2/15/2018,4:00,2.6,0,91.4,0
2/15/2018,5:00,2.4,0,91.5,0
2/15/2018,6:00,2.3,0,91.4,0
2/15/2018,7:00,1.9,0,91.8,0
2/15/2018,8:00,2.2,0,88.5,0.016
2/15/2018,9:00,2.7,0,82.6,0.037
2/15/2018,10:00,3.5,0,77.7,0.091
2/15/2018,11:00,5.4,0,67.8,0.165
2/15/2018,12:00,6.4,0,62.5,0.19
2/15/2018,13:00,6.3,0,62.2,0.146
2/15/2018,14:00,6.3,0,61.5,0.138
2/15/2018,15:00,5.4,0,65.3,0.108
2/15/2018,16:00,4.2,0,68.6,0.074
2/15/2018,17:00,3.5,0,69.5,0.037
2/15/2018,18:00,2.7,0,71.1,0.003
2/15/2018,19:00,1.7,0,73.4,0.011
2/15/2018,20:00,0.9,0,72.2,0.017
2/15/2018,21:00,-0.6,0,78.4,0.001
2/15/2018,22:00,-0.6,0,80.9,0.004
2/15/2018,23:00,-0.5,0,76.2,0.014
2/15/2018,24:00:00,-1.5,0,79.8,0.013
2/16/2018,1:00,-2.4,0,86.9,0.003
2/16/2018,2:00,-2.6,0,83.8,0.003
2/16/2018,3:00,-2.4,0,79.3,0.01
2/16/2018,4:00,-2.7,0,78.2,0.016
2/16/2018,5:00,-3.2,0,71.7,0.019
2/16/2018,6:00,-5.2,0,64.7,0.024
2/16/2018,7:00,-7.4,0,63.6,0.02
2/16/2018,8:00,-9.2,0,59.3,0.024
2/16/2018,9:00,-9.9,0,42.7,0.052
2/16/2018,10:00,-9.3,0,50.9,0.07
2/16/2018,11:00,-8.8,0,43.5,0.093
2/16/2018,12:00,-8.3,0,36.7,0.11
2/16/2018,13:00,-7.7,0,34.8,0.118
2/16/2018,14:00,-7.1,0,34.8,0.116
2/16/2018,15:00,-6.5,0,35.1,0.1
2/16/2018,16:00,-6,0,33.5,0.079
2/16/2018,17:00,-6.1,0,34.3,0.042
2/16/2018,18:00,-7.4,0,38.1,0.012
2/16/2018,19:00,-9.2,0,47.4,0.004
2/16/2018,20:00,-9.3,0,55.2,0.007
2/16/2018,21:00,-9.2,0,50.8,0.011
2/16/2018,22:00,-9.2,0,52.6,0.014
2/16/2018,23:00,-9.9,0,57.3,0.011
2/16/2018,24:00:00,-10.5,0,63.3,0.009
2/17/2018,1:00,-10.3,0,61.8,0.011
2/17/2018,2:00,-9.7,0,57.9,0.013
2/17/2018,3:00,-9.5,0,58.5,0.012
2/17/2018,4:00,-9.1,0,59.8,0.017
2/17/2018,5:00,-8.9,0,60.4,0.016
2/17/2018,6:00,-8.2,0,63,0.017
2/17/2018,7:00,-7.7,0,65.2,0.014
2/17/2018,8:00,-7.1,0,62.3,0.028
2/17/2018,9:00,-6.3,0,59,0.038
2/17/2018,10:00,-5.5,0,58.4,0.042
2/17/2018,11:00,-4.6,0,58.5,0.053
2/17/2018,12:00,-5,0,80.2,0.039
2/17/2018,13:00,-4.9,0,90.8,0.041
2/17/2018,14:00,-4.3,0,91.6,0.042
2/17/2018,15:00,-4.1,0,91.1,0.043
2/17/2018,16:00,-3.5,0,88.4,0.041
2/17/2018,17:00,-3.1,0,84.1,0.019
2/17/2018,18:00,-3.1,0,83.3,0.004
2/17/2018,19:00,-3,0,83.7,0.001
2/17/2018,20:00,-3.1,0,84.3,0
2/17/2018,21:00,-3.9,0,85.3,0.004
2/17/2018,22:00,-4.4,0,88.1,0.003
2/17/2018,23:00,-4.5,0,88.2,0.002
2/17/2018,24:00:00,-5.7,0,91.6,0
2/18/2018,1:00,-6,0,92,0
2/18/2018,2:00,-7,0,93.6,0
2/18/2018,3:00,-9.1,0,93,0
2/18/2018,4:00,-11.4,0,93.1,0
2/18/2018,5:00,-12.4,0,92.4,0
2/18/2018,6:00,-11.2,0,92.7,0
2/18/2018,7:00,-10,0,93.2,0
2/18/2018,8:00,-7.6,0,94.2,0.007
2/18/2018,9:00,-6.1,0,89.8,0.024
2/18/2018,10:00,-4.2,0,80.4,0.057
2/18/2018,11:00,-1.7,0,66.7,0.1
2/18/2018,12:00,0.7,0.51,60.2,0.123
