lake,obs_type,site_id,SWIMS_station_id,USGS_id,WBIC
Long,LK,LONG,,05401065,1000800
Long,GW,LL-01,,10052299,
Long,GW,LL-01B,,10052446,
Long,GW,LL-02,10051668,10051668,
Long,GW,LL-02B,,10052448,
Long,GW,LL-03,10051669,10051669,
Long,GW,LL-04,,10052297,
Long,GW,LL-05B,,10052298,
Long,GW,LL-05C,,10052449,
Long,GW,LL-06,10051670,10051670,
Long,GW,LL-07,10051671,10051671,
Long,GW,LL-08,,10052300,
Long,GW,LL-09,,10052301,
Long,GW,LL-09B,,10052450,
Long,GW,LL-10,,10052302,
Plainfield,LK,PLAIN,,05401067,1012500
Plainfield,GW,PFL-02,10051663,10051663,
Plainfield,GW,PFL-03,10051664,10051664,
Plainfield,GW,PFL-04,10051666,10051666,
Plainfield,GW,PFL-05,,10052284,
Plainfield,GW,PFL-07,10051667,10051667,
Plainfield,GW,PFL-09,,10052286,
Plainfield,GW,PFL-11,,10052287,
Plainfield,GW,PFL-13,,10052288,
Plainfield,GW,PFL-14,,10052289,
Plainfield,GW,PFL-15,,10052441,
Pleasant,LK,PLEAS,,435857089325301,106900
Pleasant,GW,PSNT-01,10051672,10051672,
Pleasant,GW,PSNT-03,10051673,10051673,
Pleasant,GW,PSNT-05,,10052290,
Pleasant,GW,PSNT-06,10051674,10051674,
Pleasant,GW,PSNT-07,,10052291,
Pleasant,GW,PSNT-08,,10052292,
Pleasant,GW,PSNT-09,,10052293,
Pleasant,GW,PSNT-10,,10052294,
Pleasant,GW,PSNT-11,10051675,10051675,
Pleasant,GW,PSNT-14,,10052295,
Pleasant,GW,PSNT-15,,10052296,
Pleasant,GW,PSNT-16,10051676,10051676,
