lake,OBJECTID,Elevation_ft,Depth_ft,Volume_m3,SA_m2,CumVol_m3,CumPcntTotalVol,CumSA_ac,CumPcntTotalSA,Volume_ac_ft,SA_ac
Long,16,1100.070918,0.5,313.5291105,1702.611121,313.5291105,99.9076969,0.420723721,99.19651786,0.254182439,0.420723721
Long,15,1099.570903,1,707.5224848,3139.453316,1021.051595,99.69940198,1.196498333,97.71497306,0.573598384,0.775774612
Long,14,1099.070887,1.5,1339.454054,4481.391263,2360.505649,99.30506614,2.303872521,95.60015202,1.085914154,1.107374188
Long,13,1098.570971,2,2170.76784,5426.886618,4531.273489,98.66599116,3.644883339,93.03914064,1.759871879,1.341010818
Long,12,1098.070956,2.5,3151.48773,6146.086325,7682.761219,97.73819184,5.163612,90.1387305,2.554955224,1.518728661
Long,11,1097.57094,3,4295.696937,6661.188319,11978.45816,96.47353684,6.80962494,86.99523769,3.482581646,1.646012939
Long,10,1097.070924,3.5,5561.677163,7016.417007,17540.13532,94.83617672,8.543416664,83.68410829,4.508929539,1.733791725
Long,9,1096.570909,4,6993.806219,7447.501629,24533.94154,92.77719721,10.38373155,80.16954502,5.669976615,1.84031489
Long,8,1096.070893,4.5,8745.475864,8060.748874,33279.4174,90.2025254,12.3755829,76.36558319,7.09007972,1.99185135
Long,7,1095.570977,5,10973.60649,8947.387917,44253.02389,86.971891,14.5865272,72.143206,8.89645641,2.210944291
Long,6,1095.070962,5.5,37287.35819,25449.06053,81540.38208,75.99447694,20.8751173,60.13349617,30.22938331,6.288590102
Long,5,1094.07093,6.5,29447.05892,17546.3203,110987.441,67.32525031,25.21090077,51.85318205,23.87314292,4.335783477
Long,4,1093.570914,7,39584.44165,21509.59841,150571.8826,55.6715739,30.52603009,41.70255055,32.09166103,5.315129314
Long,3,1093.070899,7.5,82601.70639,41002.2808,233173.589,31.35359651,40.65789869,22.35309385,66.96635979,10.1318686
Long,2,1092.570983,8,100085.8929,44728.15791,333259.4819,1.888267204,51.71045015,1.245352088,81.14103456,11.05255146
Long,1,1092.070967,8.5,6413.941862,2638.951408,339673.4238,0,52.36254824,0,5.199872462,0.652098088
Plainfield,1,1099.106331,0.5,749.5793099,5582.890099,749.5793099,99.76600056,1.379560058,96.78062447,0.607694441,1.379560058
Plainfield,2,1098.606315,1,2297.873249,9299.626227,3047.452559,99.04866346,3.677544197,91.41799176,1.862918014,2.297984139
Plainfield,3,1098.106299,1.5,2318.586517,5605.38467,5366.039076,98.3248602,5.062662775,88.18564473,1.879710549,1.385118579
Plainfield,4,1097.606384,2,2835.739016,5148.229125,8201.778092,97.4396152,6.334815933,85.2169166,2.298973321,1.272153158
Plainfield,5,1097.106368,2.5,2907.371475,4320.20373,11109.14957,96.53200838,7.402359876,82.72566961,2.357046758,1.067543943
Plainfield,6,1096.606352,3,3467.97341,4139.987912,14577.12298,95.44939601,8.425371589,80.33834414,2.811534595,1.023011713
Plainfield,7,1096.106337,3.5,3964.741261,4096.918414,18541.86424,94.21170545,9.437740614,77.9758547,3.214271247,1.012369025
Plainfield,8,1095.606321,4,4548.335557,4118.178247,23090.1998,92.79183173,10.45536305,75.60110577,3.687399313,1.017622436
Plainfield,9,1095.106305,4.5,4837.888765,3899.473457,27928.08856,91.28156691,11.41894244,73.35247304,3.922144152,0.963579389
Plainfield,10,1094.60639,5,5365.226483,3894.212083,33293.31504,89.60668078,12.38122172,71.10687428,4.349664223,0.962279277
Plainfield,11,1094.106374,5.5,10150.00108,6303.466126,43443.31612,86.43811072,13.93883971,67.47197834,8.228747977,1.557617997
Plainfield,12,1093.606358,6,21955.01937,12252.75593,65398.3355,79.58431667,16.96655697,60.40642235,17.79924158,3.027717254
Plainfield,13,1093.106342,6.5,19294.1517,9586.21969,84692.4872,73.56117726,19.33535978,54.87852541,15.6420389,2.368802817
Plainfield,14,1092.606327,7,28954.68438,13391.89826,113647.1716,64.52226729,22.6445648,47.1560826,23.47396799,3.30920502
Plainfield,15,1092.106311,7.5,1857.070577,848.1310529,115504.2422,63.94253747,22.85414223,46.66700753,1.505553116,0.209577424
Plainfield,16,1091.606395,8,130116.3974,52741.43728,245620.6395,23.32353478,35.88681509,16.25363928,105.487185,13.03267286
Plainfield,17,1091.10638,8.5,7898.938727,3191.683095,253519.5783,20.85768866,36.67549594,14.41315411,6.403780211,0.788680851
Plainfield,18,1090.606364,9,53505.36078,20296.37254,307024.939,4.154687065,41.69083107,2.709243793,43.37754506,5.015335135
Plainfield,19,1090.106348,9.5,9817.845232,3516.040841,316842.7843,1.089807542,42.55966235,0.681717613,7.95946458,0.868831272
Plainfield,20,1089.606332,10,3491.02198,1182.202722,320333.8062,0,42.85179055,0,2.830220393,0.292128204
Pleasant,51,981.1732088,0.500019499,648.7050353,1590.971724,648.7050353,99.97563814,0.393137068,99.701924,0.525914254,0.393137068
Pleasant,50,980.6731931,1.000035214,853.8130888,2423.062413,1502.518124,99.94357352,0.991887905,99.2479519,0.692198224,0.598750838
