
	Warning... 
	   Date Selected:                 20180101:0100
	   First Entry In Datebase:       20180215:0100
	   ...Resetting Date Selected To: 20180215:0100
hancock
hourly summary

date,time,atmp,pcpn,relh,srad,wspd
02/15/2018,01:00,2.6,0.00,89.7,0.3,3.2
02/15/2018,02:00,2.5,0.00,91.1,0.3,2.9
02/15/2018,03:00,2.8,0.00,91.0,0.5,2.9
02/15/2018,04:00,2.6,0.00,91.4,0.5,2.3
02/15/2018,05:00,2.4,0.00,91.5,0.5,2.0
02/15/2018,06:00,2.3,0.00,91.4,0.5,1.6
02/15/2018,07:00,1.9,0.00,91.8,1.5,0.8
02/15/2018,08:00,2.2,0.00,88.5,39.0,1.4
02/15/2018,09:00,2.7,0.00,82.6,313.0,1.3
02/15/2018,10:00,3.5,0.00,77.7,936.1,1.2
02/15/2018,11:00,5.4,0.00,67.8,1613.3,1.5
02/15/2018,12:00,6.4,0.00,62.5,1768.2,2.1
02/15/2018,13:00,6.3,0.00,62.2,1205.9,1.5
02/15/2018,14:00,6.3,0.00,61.5,1136.3,2.3
02/15/2018,15:00,5.4,0.00,65.3,889.6,3.1
02/15/2018,16:00,4.2,0.00,68.6,575.8,3.2
02/15/2018,17:00,3.5,0.00,69.5,199.2,1.8
02/15/2018,18:00,2.7,0.00,71.1,13.6,1.1
02/15/2018,19:00,1.7,0.00,73.4,0.0,1.8
02/15/2018,20:00,0.9,0.00,72.2,0.0,2.5
02/15/2018,21:00,-0.6,0.00,78.4,0.0,1.5
02/15/2018,22:00,-0.6,0.00,80.9,0.0,2.2
02/15/2018,23:00,-0.5,0.00,76.2,0.0,3.4
02/15/2018,24:00,-1.5,0.00,79.8,0.0,4.1
02/16/2018,01:00,-2.4,0.00,86.9,0.0,3.3
02/16/2018,02:00,-2.6,0.00,83.8,0.0,2.6
02/16/2018,03:00,-2.4,0.00,79.3,0.0,3.4
02/16/2018,04:00,-2.7,0.00,78.2,0.0,3.9
02/16/2018,05:00,-3.2,0.00,71.7,0.0,3.5
02/16/2018,06:00,-5.2,0.00,64.7,0.0,4.1
02/16/2018,07:00,-7.4,0.00,63.6,3.0,4.2
02/16/2018,08:00,-9.2,0.00,59.3,147.5,3.5
02/16/2018,09:00,-9.9,0.00,42.7,833.7,4.1
02/16/2018,10:00,-9.3,0.00,50.9,1370.0,3.5
02/16/2018,11:00,-8.8,0.00,43.5,1788.0,3.5
02/16/2018,12:00,-8.3,0.00,36.7,2025.6,3.4
02/16/2018,13:00,-7.7,0.00,34.8,2067.2,3.1
02/16/2018,14:00,-7.1,0.00,34.8,1912.8,3.0
02/16/2018,15:00,-6.5,0.00,35.1,1525.0,2.8
02/16/2018,16:00,-6.0,0.00,33.5,1082.4,2.6
02/16/2018,17:00,-6.1,0.00,34.3,508.1,2.1
02/16/2018,18:00,-7.4,0.00,38.1,28.0,1.2
02/16/2018,19:00,-9.2,0.00,47.4,0.0,0.6
02/16/2018,20:00,-9.3,0.00,55.2,0.0,1.0
02/16/2018,21:00,-9.2,0.00,50.8,0.0,1.3
02/16/2018,22:00,-9.2,0.00,52.6,0.0,1.8
02/16/2018,23:00,-9.9,0.00,57.3,0.0,1.6
02/16/2018,24:00,-10.5,0.00,63.3,0.0,1.7
02/17/2018,01:00,-10.3,0.00,61.8,0.0,2.0
02/17/2018,02:00,-9.7,0.00,57.9,0.0,2.0
02/17/2018,03:00,-9.5,0.00,58.5,0.0,1.9
02/17/2018,04:00,-9.1,0.00,59.8,0.0,2.8
02/17/2018,05:00,-8.9,0.00,60.4,0.0,2.6
02/17/2018,06:00,-8.2,0.00,63.0,0.0,3.1
02/17/2018,07:00,-7.7,0.00,65.2,0.7,3.0
02/17/2018,08:00,-7.1,0.00,62.3,64.6,3.3
02/17/2018,09:00,-6.3,0.00,59.0,296.2,2.6
02/17/2018,10:00,-5.5,0.00,58.4,265.0,2.4
02/17/2018,11:00,-4.6,0.00,58.5,416.8,2.8
02/17/2018,12:00,-5.0,0.00,80.2,439.5,3.0
02/17/2018,13:00,-4.9,0.00,90.8,568.6,2.1
02/17/2018,14:00,-4.3,0.00,91.6,541.2,1.6
02/17/2018,15:00,-4.1,0.00,91.1,624.2,2.1
02/17/2018,16:00,-3.5,0.00,88.4,596.4,1.8
02/17/2018,17:00,-3.1,0.00,84.1,114.6,1.9
02/17/2018,18:00,-3.1,0.00,83.3,29.0,2.3
02/17/2018,19:00,-3.0,0.00,83.7,0.0,2.1
02/17/2018,20:00,-3.1,0.00,84.3,0.0,1.9
02/17/2018,21:00,-3.9,0.00,85.3,0.0,2.1
