lake,date,site_id,d18O,d2H
Long,5/1/2016,PRECIP,-5.2,-25.3
Long,6/1/2016,PRECIP,-4.8,-27.1
Long,7/1/2016,PRECIP,-5.9,-35.3
Long,8/1/2016,PRECIP,-6.4,-41.1
Long,9/1/2016,PRECIP,-7.7,-46.8
Long,10/1/2016,PRECIP,-11.7,-76.2
Long,11/1/2016,PRECIP,-11.1,-65.6
Long,12/1/2016,PRECIP,-17.3,-121.6
Long,1/1/2017,PRECIP,-18.4,-135.6
Long,3/1/2017,PRECIP,-18.4,-127.8
Long,4/1/2017,PRECIP,-13.3,-94.1
Long,5/1/2016,LONG,-5.9,-52.7
Long,6/1/2016,LONG,-3.9,-41.7
Long,7/1/2016,LONG,-1.4,-27.4
Long,8/1/2016,LONG,-1,-23.1
Long,9/1/2016,LONG,-4.5,-36.2
Long,10/1/2016,LONG,-5.3,-44.8
Long,11/1/2016,LONG,-4.4,-38.1
Long,12/1/2016,LONG,-4.8,-41.7
Long,1/1/2017,LONG,-5.6,-46.9
Long,2/1/2017,LONG,-6.4,-51.6
Long,3/1/2017,LONG,-6.5,-50.8
Long,4/1/2017,LONG,-6.1,-48.4
Long,5/1/2016,LL-N-DEEP,-10.68,
Long,6/1/2016,LL-N-DEEP,-10.29,
Long,7/1/2016,LL-N-DEEP,-10.06,
Long,8/1/2016,LL-N-DEEP,-10.15,
Long,9/1/2016,LL-N-DEEP,-10.1,
Long,10/1/2016,LL-N-DEEP,-10.03,
Long,11/1/2016,LL-N-DEEP,-10.14,
Long,12/1/2016,LL-N-DEEP,-10.09,
Long,1/1/2017,LL-N-DEEP,-10.51,
Long,3/1/2017,LL-N-DEEP,-10.06,
Long,5/1/2016,LL-N-SHALLOW,-10.43,
Long,6/1/2016,LL-N-SHALLOW,-10.1,
Long,7/1/2016,LL-N-SHALLOW,-10.4,
Long,8/1/2016,LL-N-SHALLOW,-10.42,
Long,9/1/2016,LL-N-SHALLOW,-11.04,
Long,10/1/2016,LL-N-SHALLOW,-10.96,
Long,11/1/2016,LL-N-SHALLOW,-10.93,
Long,3/1/2017,LL-N-SHALLOW,-9.79,
Long,5/1/2016,LL-E-DEEP,-7.67,
Long,6/1/2016,LL-E-DEEP,-7.44,
Long,7/1/2016,LL-E-DEEP,-10.59,
Long,8/1/2016,LL-E-DEEP,-10.67,
Long,9/1/2016,LL-E-DEEP,-10.41,
Long,10/1/2016,LL-E-DEEP,-10.13,
Long,11/1/2016,LL-E-DEEP,-9.62,
Long,12/1/2016,LL-E-DEEP,-8.95,
Long,1/1/2017,LL-E-DEEP,-8.49,
Long,2/1/2017,LL-E-DEEP,-7.21,
Long,3/1/2017,LL-E-DEEP,-6.35,
Long,4/1/2017,LL-E-DEEP,-6.09,
Long,5/1/2016,LL-E-SHALLOW,-13.64,
Long,6/1/2016,LL-E-SHALLOW,-9.45,
Long,7/1/2016,LL-E-SHALLOW,-5.9,
Long,8/1/2016,LL-E-SHALLOW,-2.44,
Long,9/1/2016,LL-E-SHALLOW,-4.76,
Long,10/1/2016,LL-E-SHALLOW,-8.63,
Long,11/1/2016,LL-E-SHALLOW,-4.96,
Long,2/1/2017,LL-E-SHALLOW,-8.42,
Long,4/1/2017,LL-E-SHALLOW,-6.09,
Long,5/1/2016,LL-W-DEEP,-4.41,
Long,6/1/2016,LL-W-DEEP,-4.44,
Long,7/1/2016,LL-W-DEEP,-5.16,
Long,8/1/2016,LL-W-DEEP,-5.53,
Long,9/1/2016,LL-W-DEEP,-5.73,
Long,10/1/2016,LL-W-DEEP,-5.6,
Long,11/1/2016,LL-W-DEEP,-5.88,
Long,12/1/2016,LL-W-DEEP,-5.48,
Long,1/1/2017,LL-W-DEEP,-8.4,
Long,2/1/2017,LL-W-DEEP,-8.27,
Long,3/1/2017,LL-W-DEEP,-5.56,
Long,4/1/2017,LL-W-DEEP,-5.66,
Long,6/1/2016,LL-W-MID,-7.37,
Long,7/1/2016,LL-W-MID,-7.41,
Long,8/1/2016,LL-W-MID,-7.15,
Long,9/1/2016,LL-W-MID,-6.88,
Long,10/1/2016,LL-W-MID,-7.24,
Long,11/1/2016,LL-W-MID,-7.27,
Long,12/1/2016,LL-W-MID,-7.11,
Long,3/1/2017,LL-W-MID,-6.84,
Long,4/1/2017,LL-W-MID,-6.71,
Long,6/1/2016,LL-W-SHALLOW,-10.5,
Long,7/1/2016,LL-W-SHALLOW,-10.18,
Long,8/1/2016,LL-W-SHALLOW,-8.92,
Long,9/1/2016,LL-W-SHALLOW,-10.09,
Long,10/1/2016,LL-W-SHALLOW,-9.65,
Long,11/1/2016,LL-W-SHALLOW,-8.06,
Long,4/1/2017,LL-W-SHALLOW,-8.39,
