"	Warning... ",,,,,,
"	   Date Selected:                 20180201:2400",,,,,,
"	   First Entry In Datebase:       20180215:2400",,,,,,
"	   ...Resetting Date Selected To: 20180215:2400",,,,,,
hancock,,,,,,
daily summary,,,,,,
,,,,,,
date,atmp_max,atmp_min,pcpn,relh_max,relh_min,rpet
2/15/2018,7.6,-2.6,0,93.5,60.1,1.067
2/16/2018,-1.5,-11.3,0,89.3,30.4,0.967
2/17/2018,-2.2,-11.1,0,93.8,53.6,0.5
2/18/2018,3.4,-14.1,1.02,97.4,57.6,0.838
2/19/2018,3.9,-2.5,0,100,77.5,0.436
2/20/2018,1.3,-7.3,8.89,100,80.9,0.342
2/21/2018,-4.1,-12.6,0,90.6,56.4,0.72
2/22/2018,0.3,-10.2,0,100,53,0.586
2/23/2018,2.3,-4.4,5.33,100,75.8,0.454
2/24/2018,3.3,-9.3,6.6,100,64.8,0.757
2/25/2018,2.2,-5.7,1.52,100,59.2,0.968
2/26/2018,8.5,-6.2,0,93.6,39,1.5
2/27/2018,14.2,0.2,0,99.8,47.3,1.983
2/28/2018,6.8,-1.7,0,100,72.7,0.552
3/1/2018,6.5,-3.5,0,100,52.2,1.009
3/2/2018,8.5,-6.6,0,100,29,1.507
3/3/2018,8.1,-2.6,0,80.3,28,1.502
3/4/2018,8.4,-1.6,0,71,25.4,1.528
3/5/2018,1.5,-2.6,0,100,46,0.871
3/6/2018,1,-4.6,1.52,100,78.3,0.499
3/7/2018,-2.7,-14.1,0.25,92.8,54,0.877
3/8/2018,-1,-16.6,0,94.7,52.8,0.81
3/9/2018,3.2,-14.7,3.56,95.1,35,1.405
3/10/2018,4.6,-14.6,0,93.4,34.7,1.537
3/11/2018,5.3,-6.4,0,91.6,44.7,1.242
3/12/2018,4.7,-5.3,0,86.4,38.4,1.512
3/13/2018,-0.3,-7.8,0,81.6,43.9,1.116
3/14/2018,9.3,-9.7,0,89.4,30.5,1.935
3/15/2018,4.8,-5.7,0,95.5,33.2,1.807
3/16/2018,5.4,-8.1,0,75.1,27.3,1.647
3/17/2018,11,-7.8,0,88.9,18.9,2.173
3/18/2018,13.5,-5.9,0,91,21.9,2.407
3/19/2018,6.3,-4.2,0,75.7,40.8,1.965
3/20/2018,2.5,-7.3,0,78.3,45.9,1.284
3/21/2018,5.1,-6.4,0,78,25.9,1.797
3/22/2018,7.7,-8.3,0,90.7,27.5,2.066
3/23/2018,7,-6.2,0,82.6,21.9,2.124
3/24/2018,4.8,-5.8,0,77.9,39.1,1.406
3/25/2018,7.4,-6,0,76,26.5,2.094
3/26/2018,10.1,-4,5.59,100,28.9,1.69
3/27/2018,5.5,-2.4,4.57,100,73.8,0.676
3/28/2018,14.8,-5.1,0,100,29,2.387
3/29/2018,9,-2,0,93.2,30.6,2.331
3/30/2018,8,-5.7,0,86.2,31.4,1.917
3/31/2018,5,-6.5,7.11,100,44.6,0.942
4/1/2018,1.6,-12.1,0,70.4,33.9,1.655
4/2/2018,4,-8.9,0,95.5,33.5,1.409
4/3/2018,0.6,-5.5,0.25,100,81.1,0.432
